# One host per line. Category after a comma, used only for grouping the report.
# Chosen for being places a person would plausibly send an agent: buy something,
# book something, check something.
amazon.com,retail
walmart.com,retail
target.com,retail
bestbuy.com,retail
ebay.com,retail
etsy.com,retail
homedepot.com,retail
lowes.com,retail
costco.com,retail
wayfair.com,retail
chewy.com,retail
macys.com,retail
kohls.com,retail
nordstrom.com,retail
gap.com,retail
ikea.com,retail
overstock.com,retail
newegg.com,retail
bhphotovideo.com,retail
staples.com,retail
nike.com,apparel
adidas.com,apparel
zara.com,apparel
hm.com,apparel
uniqlo.com,apparel
sephora.com,apparel
ulta.com,apparel
asos.com,apparel
shein.com,apparel
lululemon.com,apparel
booking.com,travel
expedia.com,travel
airbnb.com,travel
hotels.com,travel
kayak.com,travel
tripadvisor.com,travel
delta.com,travel
united.com,travel
southwest.com,travel
aa.com,travel
jetblue.com,travel
marriott.com,travel
hilton.com,travel
hyatt.com,travel
ihg.com,travel
vrbo.com,travel
priceline.com,travel
skyscanner.com,travel
doordash.com,delivery
instacart.com,delivery
ubereats.com,delivery
grubhub.com,delivery
opentable.com,delivery
ticketmaster.com,tickets
stubhub.com,tickets
seatgeek.com,tickets
vividseats.com,tickets
eventbrite.com,tickets
cvs.com,pharmacy
walgreens.com,pharmacy
riteaid.com,pharmacy
goodrx.com,pharmacy
zillow.com,services
redfin.com,services
apartments.com,services
carvana.com,services
cargurus.com,services
autotrader.com,services
angi.com,services
thumbtack.com,services
yelp.com,services
indeed.com,services
# Added 2026-08-30, widening the list beyond the first 72. Same rule for
# choosing them: places a person would plausibly send an agent.
bloomingdales.com,retail
saksfifthavenue.com,retail
dillards.com,retail
jcpenney.com,retail
belk.com,retail
qvc.com,retail
zappos.com,retail
rei.com,retail
dickssportinggoods.com,retail
academy.com,retail
tractorsupply.com,retail
acehardware.com,retail
menards.com,retail
sherwin-williams.com,retail
containerstore.com,retail
crateandbarrel.com,retail
westelm.com,retail
potterybarn.com,retail
article.com,retail
allmodern.com,retail
michaels.com,retail
joann.com,retail
hobbylobby.com,retail
barnesandnoble.com,retail
gamestop.com,retail
petco.com,retail
petsmart.com,retail
autozone.com,retail
oreillyauto.com,retail
advanceautoparts.com,retail
harborfreight.com,retail
northerntool.com,retail
grainger.com,retail
uline.com,retail
officedepot.com,retail
levi.com,apparel
patagonia.com,apparel
thenorthface.com,apparel
underarmour.com,apparel
newbalance.com,apparel
puma.com,apparel
reebok.com,apparel
converse.com,apparel
vans.com,apparel
crocs.com,apparel
skechers.com,apparel
footlocker.com,apparel
jcrew.com,apparel
bananarepublic.com,apparel
oldnavy.com,apparel
madewell.com,apparel
abercrombie.com,apparel
hollisterco.com,apparel
express.com,apparel
mango.com,apparel
cos.com,apparel
everlane.com,apparel
aritzia.com,apparel
revolve.com,apparel
farfetch.com,apparel
ssense.com,apparel
netaporter.com,apparel
matchesfashion.com,apparel
mrporter.com,apparel
zalando.com,apparel
boohoo.com,apparel
prettylittlething.com,apparel
fashionnova.com,apparel
temu.com,apparel
aliexpress.com,apparel
wish.com,apparel
poshmark.com,apparel
thredup.com,apparel
therealreal.com,apparel
depop.com,apparel
mercari.com,apparel
stockx.com,apparel
goat.com,apparel
agoda.com,travel
trivago.com,travel
momondo.com,travel
orbitz.com,travel
travelocity.com,travel
cheaptickets.com,travel
lastminute.com,travel
opodo.com,travel
edreams.com,travel
alaskaair.com,travel
spirit.com,travel
frontier.com,travel
hawaiianairlines.com,travel
britishairways.com,travel
lufthansa.com,travel
airfrance.com,travel
klm.com,travel
emirates.com,travel
qatarairways.com,travel
turkishairlines.com,travel
ryanair.com,travel
easyjet.com,travel
wizzair.com,travel
accor.com,travel
wyndhamhotels.com,travel
choicehotels.com,travel
bestwestern.com,travel
radissonhotels.com,travel
hostelworld.com,travel
getyourguide.com,travel
viator.com,travel
klook.com,travel
amtrak.com,travel
greyhound.com,travel
hertz.com,travel
avis.com,travel
enterprise.com,travel
budget.com,travel
turo.com,travel
seamless.com,delivery
postmates.com,delivery
caviar.com,delivery
gopuff.com,delivery
freshdirect.com,delivery
shipt.com,delivery
resy.com,delivery
tock.com,delivery
axs.com,tickets
livenation.com,tickets
ticketweb.com,tickets
gametime.co,tickets
tickpick.com,tickets
fandango.com,tickets
amctheatres.com,tickets
cvshealth.com,pharmacy
optum.com,pharmacy
express-scripts.com,pharmacy
costplusdrugs.com,pharmacy
capsule.com,pharmacy
trulia.com,services
realtor.com,services
compass.com,services
opendoor.com,services
offerup.com,services
craigslist.org,services
vroom.com,services
truecar.com,services
edmunds.com,services
kbb.com,services
carmax.com,services
homeadvisor.com,services
taskrabbit.com,services
handy.com,services
porch.com,services
glassdoor.com,services
linkedin.com,services
ziprecruiter.com,services
monster.com,services
upwork.com,services
fiverr.com,services
